text,label
"Hello, this is from your bank security department. We detected suspicious activity on your account.",1
"Your account will be frozen unless you verify your identity immediately by providing your PIN.",1
"You've won a lottery! To claim your prize, please provide your bank account details.",1
"This is the IRS. You owe back taxes. Pay immediately or face arrest.",1
"Your package is held at customs. Pay the fee now to avoid legal action.",1
"I'm calling from Microsoft tech support. Your computer has a virus. Give me remote access.",1
"Urgent: Your credit card has been compromised. Verify your CVV number now.",1
"You qualify for a government grant. Just pay a small processing fee first.",1
"Your social security number has been suspended due to suspicious activity.",1
"Final notice: Your warranty is expiring. Renew now by providing payment information.",1
"This is your grandson. I'm in trouble and need money wired immediately.",1
"You've been selected for a special investment opportunity. Act now before it's too late.",1
"Your Netflix account is suspended. Update your payment information immediately.",1
"We're from the police department. There's a warrant for your arrest. Pay the fine now.",1
"Your Amazon account shows unusual activity. Confirm your password to secure it.",1
"Hello, how are you today?",0
"Meeting scheduled for 3 PM tomorrow.",0
"Can you send me the project report?",0
"Thanks for your help with the presentation.",0
"Let's catch up over coffee this weekend.",0
"The weather is nice today.",0
"I'll be working from home tomorrow.",0
"Please review the attached document.",0
"Happy birthday! Hope you have a great day.",0
"The meeting has been rescheduled to next week.",0
"Could you please call me back when you're free?",0
"I'm running a few minutes late.",0
"Thanks for the update. I'll review it shortly.",0
"Looking forward to our collaboration.",0
"Have a great weekend!",0
